s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/23686687,379,Embrace,"You and Namjoon have been best friends for years, and you’ve been secretly in love with him basically the entire time. You both love cuddling and being close, much to the amusement of your friends, but to you, being with Namjoon like this means everything. You’ve always believed that Namjoon didn’t feel the same way as you, no matter how much you wanted him to, but maybe there is actually something else behind Namjoon’s cuddles, other than just innocent friendship.",2020-04-16,3904.0,Explicit,F/M,Completed,Accidental Confession of Love | Best Friends | Cuddling & Snuggling | Fluff | Friends to Lovers | Grinding | Mutual Orgasm | Mutual Pining | Sex in Spooning Position | Sharing a Bed | Smut | Soft Dom Kim Namjoon | RM | and you guessed it... there's some Embracing in this fic that's titled Embrace | loving possessiveness,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/18219461,366,In Heat,"All you really want is a normal relationship. The kind of relationship where he holds you in his arms at the end of the night, but he’s hiding a secret that prevents that.",2019-03-24,4479.0,Explicit,F/M,Completed,Alternate Universe - Werewolf | Dirty Talk | Knotting | Oral Sex | Rough Sex | Smut | impreg kink,"Kim Namjoon | RM/Reader, Kim Namjoon | RM/You",namjoon
https://golemlab.eu/graph/38377138,357,Substance,"You meet Kim Namjoon at the library during a yearlong fellowship in Seoul. You’ve never heard of BTS, but you like him. Is there a place in his life for you?",2022-04-14,36470.0,Explicit,F/M,Completed,Alternate Universe - Idols | Angst with a Happy Ending | Art | Art collector Namjoon | Couch Sex | Creampie | Falling In Love | Fluff | Fluff and Angst | Fluff and Smut | In a deeply self-indulgent mood OCs best friend hooks up with Jimin | Kitchen Sex | Miscarriage | Namjoon as a dad | Namjoon as a dad eventually | Namjoon gardening with his kid | Namjoon in a beanie | Namjoon with scruff | Namjoon. That’s it that’s the warning. | OC does not know BTS | OC’s OBGYN is a Jungkook bias | Oral Sex | Pregnancy | Rrrrrrrrap Monstaaaaaa | Smut | Strangers to Lovers | Strangers to Lovers to In Love | Vague references to child birth | like at all | namjoon’s dimples,"Kim Namjoon | RM/Original Female Character(s), Kim Namjoon | RM/Reader, Park Jimin (BTS)/Original Female Character(s) | Kim Namjoon | RM/Reader",namjoon
https://golemlab.eu/graph/38951103,344,"Oh, Honey!","Namjoon never wanted a Sugar Baby, no matter what Yoongi and Hoseok said. You never wanted a Sugar Daddy, despite the insistence from Jimin. Until your life takes a turn and you really need the money, fast. What was supposed to be a one night thing, a birthday present for a big time rapper and producer, turns into so much more when you find in each other what you never thought you had been looking for.",2022-05-12,61969.0,Explicit,F/M,Completed,Angst and Hurt/Comfort | Blow Jobs | Choking | Daddy Dom Kim Namjoon | RM | Daddy Kink | Dirty Talk | Doggy Style | Dom Jung Hoseok | J-Hope | Dom Kim Namjoon | RM | Domestic Fluff | Face Slapping | Face-Fucking | Fluff and Angst | Grinding | Hair-pulling | Hand Jobs | Jealous Kim Namjoon | RM | Kim Namjoon | RM Has a Big Dick | Kim Namjoon | RM Smut | Kim Namjoon | RM's Thighs | Kissing | Making Out | Masturbation in Shower | Nipple Licking | Nipple Play | Oral Sex | Orgasm Delay/Denial | Other Additional Tags to Be Added | Pet Names | Possessive Sex | Praise Kink | Semi-Public Sex | Shower Sex | Size Kink | Slapping | Spanking | Spit Kink | Sugar Daddy Kim Namjoon | RM | Tears | Threesome - F/M/M | Vaginal Fingering | Vaginal Sex,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/18100901,342,Let the Villain Win,"Kim Namjoon, famous author and your childhood friend has been keeping a secret from you. His new book treads on such dark themes that he’s finding it difficult to write. Excited by the prospect of a sinister plot you offer him a piece of advice, “Let the villain win...”",2019-03-13,5259.0,Mature,F/M,Completed,AUTHOR AU | Drama | Drugging | Kidnapping | Mention of Seokjin x Reader | Oral Sex | Possessive Behavior | Smut | Stalking | Thriller | Vaginal Fingering | Yandere | Yandere Kim Namjoon | RM,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/22669573,338,keeping things simple,"desperate, but unable, to have a child, you turn to adoption. the only trouble is, single parents are wrongly disadvantaged in the search to become a parent. here’s where your friendly, unlucky-in-love co-worker, namjoon comes in",2020-02-11,34523.0,Mature,F/M,Completed,Adoption | Doctor Kim Namjoon | RM | Eventual Romance | Eventual Smut | Fake Marriage | Fake/Pretend Relationship | Fluff | Light Angst | Slow Burn,Kim Namjoon | RM/Reader Series: map of the hearts - drabble collection [1],namjoon
https://golemlab.eu/graph/18231965,338,Popsicle Problems,Eating popsicles in front of your boyfriend has never been a problem before. Is the lack of sex stressing him out that much?,2019-03-25,6198.0,Not Rated,F/M,Completed,,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/14624351,316,Nine Months,The one where Namjoon becomes a father.,2018-05-12,9421.0,Mature,F/M,Completed,Childbirth | Domestic Fluff | Fluff | Kim Namjoon is a darling | Kim Namjoon | RM-centric | Pregnancy | Supportive Namjoon | Waterbirth,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/15270408,299,Mr. Smartass,"What happens when you get partnered with Mr. Know-It-All, Kim Namjoon, for a class project?",2018-07-13,4234.0,Mature,F/M,Completed,Alternate Universe - College/University | Dom Kim Namjoon | RM | Enemies to Lovers | Public Sex | bts smut | namjoon smut,Kim Namjoon | RM/Reader,namjoon
https://golemlab.eu/graph/38738721,296,Bloom,"Kim Namjoon has spent the last year serving as an ambassador. He and BTS have traveled the world on behalf of the state, meeting so many new people. He never would've thought one of them would be his soulmate. ---- You've been avoiding finding your soulmate for years. You have the best friends, the best job, and live in the best city: New York. Best of all, you have your freedom. Why would you go looking for anything else? ---- What do you do when your whole life is uprooted? How do you grow with someone you never wanted to meet but you now depend on for everything? And is it even possible for something beautiful to blossom from the circumstances? Updates on Mondays(ish)",2022-05-02,91538.0,Not Rated,F/M,In-Progress,Alternate Universe - Soulmates | Angst | Eventual Romance | Eventual Smut | Fluff | Romance | Romantic Soulmates | Slow Burn | Soul Bond,Kim Namjoon | RM/Reader,namjoon
