s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/12366159,277,Sticks and Stones,This was supposed to be your dream job. You were supposed to focus only on your career and nothing more. But a little Suga never hurt no one.,2017-10-15,40511.0,Not Rated,F/M,In-Progress,Angst | Choking Kink | Dirty Talk | Doggy Style | Dom Min Yoongi | Suga | Dom/sub | Hair-pulling | Mean | Min yoongi/reader - Freeform | Over stimulation | Praise Kink | Reader can be sassy | Reader has commitment issues | Reader-Insert | Rough Sex | Sex in the genius lab | Smut | Spanking | Suga/reader - Freeform | Yoongi biased | big hit | bts - Freeform | bts smut | choreographer reader | eventual angst | kpop | reader smut | sex buddies,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Park Jimin/Reader, Kim Namjoon | Rap Monster/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Reader - Relationship",jungkook
https://golemlab.eu/graph/13984218,275,Arrest Me,detective jeon just can’t seem to leave you alone. (or the one where jungkook can't tell you he likes you.),2018-03-15,7513.0,Explicit,F/M,Completed,Alternate Universe | Alternate Universe - Police | Car Sex | Creampie | Dom Jeon Jungkook | Explicit Sexual Content | Fluff | Fluff and Smut | Jeon Jungkook is Bad at Feelings | Officer AU | Oral Sex | Public Sex | Riding | Smut | Spanking | Thighs | Vaginal Sex,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/6570910,274,For You,"~ ~ ~ ''Then I debuted and I was so busy that I didn’t even get to go to the Han River anymore.” Slowly pulling away, he looks at me intently, and I don’t think I’ll ever get used to this side of his. “But then a few weeks ago, the day I decide to go to school because my schedule was free, you sat down next to me. Out of nowhere there you were.” I smile thinking back to that day and how much I had struggled to even go to class, that seemed like years ago. “I was shocked, and then you even talked to me asking if I was OK. Do you know how nervous I was?” He was smiling now and I start feeling tingles running down my spine at his confession. “You know, you also grew up to be very beautiful. I don’t think I tell you enough. But there are moments when I look at you, I find it difficult to look away.” ~ ~ ~ A story of a girl meeting a boy... He is not just any boy... She is also not just any girl.... Life is not easy but at least together they will have more reason to smile, right?",2016-04-16,117640.0,Teen And Up Audiences,F/M,Completed,Angst | Falling In Love | Fluff | Friendship/Love | High School | Idols | Love | Love Confessions | Music | Real Life | Slice of Life | True Love,Jeon Jungkook/Reader Series: A Star For You [1],jungkook
https://golemlab.eu/graph/26698192,274,there you are,"Everyone around him found their mates already and he is very anxious about his. Out of all scenarios he had imagined, it didn’t cross his mind that his omega comes into his house as the shy fried chicken delivery girl, under his big pet dog.",2020-09-28,13424.0,Explicit,F/M,Completed,Alpha Jeon Jungkook | Alpha/Beta/Omega Dynamics | Biting | Domestic | Fever | Fluff and Smut | Grinding | Impregnation | Jeon Jungkook Has a Big Dick | Marking | Mating Cycles/In Heat | Nipple Licking | Omega Reader | Oral Sex | Protective Min Yoongi | Suga | Scenting | Vaginal Fingering | Vaginal Sex | Whiny Reader,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/14777142,272,pegging fantasy,You and Jimin go shopping and end up buying a toy to use on Jungkook.,2018-05-28,2467.0,Mature,F/M,Completed,Anal Fingering | Ass Play | Baby Boy | Begging | Blow Jobs | Dirty Talk | First Time | Fluff and Smut | Little plot | Needy Jeon Jungkook | Pegging | Praise Kink | Sex Toys | Smut | Strap-Ons | Sub Jeon Jungkook | Sub Jungkook | Teasing | Whiny Jeon Jungkook | jikook - Freeform | park jimin - Freeform | reader - Freeform | sub!kook,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/17113304,271,"Thank you, Namjoon","You're struggling for money until you meet a sugar daddy named Kim Namjoon. Through insecurities and hardships, having a sugar daddy isn't that bad. ------------ I dont know why I picked this storyline but I hope you enjoy it :)",2018-12-30,12161.0,Explicit,F/M,In-Progress,Daddy Kink | Dom/sub | Eventual Smut | Friendship | Light Dom/sub | Smut | Some Humor | Sugar Daddy Kim Namjoon | RM,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader",jungkook
https://golemlab.eu/graph/16140881,269,Blue Bunny - Jungkook x Reader (Hybrid) (18+),"You awaken from a very drunken night only to discover that there is a mysterious bunny man in your bed. A hybrid, to be exact. Faced with the sudden reality of your drunken antics from the night before, you must now take ownership and care for this bunny hybrid that you drunkenly adopted. How the hell are you going to handle this?! (General idea came from watching the Japanese Drama Kimmi Wa Petto) This is an 18+ fic, so read at your own discression!",2018-09-30,8359.0,Mature,F/M,In-Progress,Bunny Hybrid Jeon Jungkook,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/23487745,269,Friends (Yandere Jungkook x Reader),Jungkook wants to be more than just friends,2020-04-05,1561.0,Mature,F/M,Completed,Kidnapping | Obsessive Behaviour | Reader-Insert | Yandere Bangtan Boys | BTS | crazy jungkook | kpopyandere,"Jeon Jungkook/Reader, Yandere!Jungkook/Reader",jungkook
https://golemlab.eu/graph/13341069,268,kiss him,"Your brain says one thing, your mouth say another, and no, this will not all be over by morning.",2018-01-11,1211.0,Teen And Up Audiences,F/M,Completed,Alcohol | Christmas | Drunken Kissing | Fluff and Humor,Jeon Jungkook/Reader Series: Annual Christmas Drabbles!!! [13],jungkook
https://golemlab.eu/graph/10867557,268,Ace,"Jungkook only cares about three things: Baseball, painting and his team, but soon he’s adding you to that list when love comes flying at him fast and hard, knocking him right on his ass.",2017-05-09,24264.0,Explicit,F/M,Completed,Alternate Universe - College/University | Alternate Universe - Sports | Baseball | Cheating | Cross-Posted on Tumblr | Explicit Language | Explicit Sexual Content | Fluff and Angst | Mild Blood | Smut | artist!jungkook | athlete!jungkook | i can't believe i wrote 20k+ for a request,Jeon Jungkook/Reader,jungkook
