s,kudos,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,keyword,relationship,member
https://golemlab.eu/graph/14127228,1335,STAGE FRIGHT,"You had made it, all the way from America...just to realize that you might've made a mistake somewhere. All you wanted was to make music. Compose and be the best producer the world had ever seen. What that had to do with dancing and rapping is really beyond you, but yet there you were...a brand new trainee.",2018-03-28,214636.0,Mature,F/M,In-Progress,Adopted Children | Adoption | Angst | Anxiety | Black Character(s) | Comedy | Dancing Lessons | Denial of Feelings | English | Female Character of Color | Fluff | Freeform | Kim Namjoon | RM is Bad at Feelings | Love Triangles | Min Yoongi | Suga is Bad at Feelings | Music | Other Additional Tags to Be Added | Plot | Producer Kim Namjoon | Rap Monster | Producer Min Yoongi | Suga | Roommates | Seonbae | Singing | Slow Burn | Trainee | Unconventional Families | ambw | everyone is bad at feelings | studio,"Kim Namjoon | RM/Reader, Kim Namjoon | RM/You, Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",namjoon
https://golemlab.eu/graph/23384977,1331,Smutty Fanfic In The Time Of Covid,Written requested pieces,2020-03-29,102772.0,Explicit,F/M,In-Progress,Age Difference | Airplane Sex | Alternate Universe - College/University | Anal Play | Anal Sex | Angel/Demon Relationship | Bartender Jeon Jungkook | Beach Sex | Blow Jobs | Bondage | Casual Sex | Coming In Pants | Cuckolding | Cum Play | Cybersex | Degradation | Dirty Talk | Dom Jeon Jungkook | Dom/sub | Exhibitionism | Face-Sitting | Florist Park Jimin (BTS) | Free Use Kink | Friends With Benefits | Gym Sex | Hand Jobs | Humiliation | Incubus Jeon Jungkook | Kinktober | Kinktober 2020 | Lactation Kink | Loss of Virginity | Makeup Sex | Mile High Club | Morning Sex | Object Insertion | One Night Stands | Online Dating | Oral Sex | Painter Jeon Jungkook | Painter Kim Taehyung | V | Phone Sex | Restraints | Rimming | Semi-Public Sex | Sex Tapes | Sex Toys | Size Kink | Spanking | Spit Kink | Strippers & Strip Clubs | Sub Min Yoongi | Suga | Sugar Daddy | Vaginal Fingering | Vaginal Sex | Werewolf Kim Taehyung | V | YouTuber Jeon Jungkook | primal play,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader",jungkook
https://golemlab.eu/graph/25881670,1313,A Sea of Indigo,"Pitbull Hybrid Jungkook has finally been freed from the fighting rings, and now finds himself at Marigold Sanctuary & Transition Estate, a place for healing and self-discovery for rescued hybrids. It's stupid, dumb, cheesy, and hell-bent on helping Jungkook ""heal"" and ""find himself"" and ""decide the course of his life."" And right at the center of it is Y/N, a nurse who's got everyone bamboozled that she's like some awesome person. She's not that great. Jungkook hates it here.",2020-08-13,240149.0,Explicit,F/M,Completed,BTS AU | Cat Hybrid Min Yoongi | Suga | Dog Hybrid Jeon Jungkook | Fighter Jeon Jungkook | Fox Hybrid Park Jimin (BTS) | Hurt/Comfort | Hybrid Jeon Jungkook | Hybrid Jung Hoseok | J-Hope | Hybrids | Recovery | Slow Burn | Slow Romance | Tiger Hybrid Kim Taehyung | V | Wolf Hybrid Kim Namjoon | RM,Jeon Jungkook/Reader Series: The Indigo Collection [1],jungkook
https://golemlab.eu/graph/10707147,1307,Caught in a Lie,"When your boss asked you to go undercover to help bring down a rising gang you had thought it would be easy. However, the longer you stay with them the more they seem to draw you into their world. Will you be able to get out or will you get caught in your lie?",2017-04-23,90716.0,Explicit,Multi,In-Progress,Attempted Rape/Non-Con | Attempted Sexual Assault | Cop AU | Dirty Talk | Dom/sub Undertones | Drugs | Eventual Smut | Everyone Is An Asshole | Gang AU | Haven't picked a final pairing | Jungkook hates being called Oppa | Praise Kink | Probably will have smut | She's also Sassy | Smut | Swearing | Undercover AU | Violence | Weapons | reader is a hacker | strong female lead,"Jeon Jungkook/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader",jungkook
https://golemlab.eu/graph/28506354,1279,Thief,"~SMUT~ do not read if you are not over 18 this book is mainly smut every chapter. there is major kink and rough scenes in this book, so please read at your own discretion if that is something that you are not into. currently editing this book ❣️ reader x namjoon reader x jungkook reader x jimin reader x yoongi reader x taehyung reader x jin reader x hobi reader x ot7",2021-01-02,311003.0,Explicit,F/M,In-Progress,Anal Fingering | Anal Sex | BDSM | CNC | Consensual Somnophilia | Degradation | Degrading Language | Dom Jeon Jungkook | Dom Jung Hoseok | J-Hope | Dom Kim Namjoon | RM | Dom Kim Seokjin | Jin | Dom Kim Taehyung | V | Dom Min Yoongi | Suga | Dom Park Jimin (BTS) | Double Penetration | Double Penetration in One Hole | Established Relationship | Gangbang | Name-Calling | Polyamory | Reader-Insert | Safewords | Sex Toys | Switch Jeon Jungkook | Switch Jung Hoseok | J-Hope | Switch Kim Namjoon | RM | Switch Kim Seokjin | Jin | Switch Kim Taehyung | V | Switch Min Yoongi | Suga | Switch Park Jimin (BTS) | Threesome | backstory not provided | consenting non consenting,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader",jungkook
https://golemlab.eu/graph/16778878,1260,Tentacledipity,"This tale starts, as any good fiction does, with a girl crash landing on a foreign planet. And, like any good fiction, it follows a theme of serendipitous happening, and tentacles. Behold, serendipity and tentacles— or dare we call it… tentacledipity. OR The Wanted spin-off that I couldn't resist making for our beloved Jimin-ssi!!",2018-11-29,50501.0,Explicit,F/M,In-Progress,Alien AU | Alien Park Jimin (BTS) | Aliens | Alternate Universe - Aliens | Alternate Universe - Soulmates | Angst | Fondling | HUEHUEHUEHEUHE | Light Dirty Talk | Smut | Soulmate AU | Soulmate-Identifying Marks | Squirting | Tentacle Sex | Tentacles | Vaginal Fingering | human reader | i mean not yet but Soon | jesus can't believe I'm back on THIS bullshit,Park Jimin (BTS)/Reader Series: Wanted [2],jimin
https://golemlab.eu/graph/11689875,1237,First Words,Everyone has a tattoo on their wrist of the first words their soulmate will say to them. But what happens when one person in the relationship is mute? Based on a tumblr prompt.,2017-08-03,33271.0,General Audiences,F/M,Completed,Alternate Universe - Soulmates | Cute Min Yoongi | Suga | Depressed Min Yoongi | Suga | Feels | Grumpy Min Yoongi | Suga | I Tried | Reader-Insert | Soulmate-Identifying Marks | Soulmates,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You",yoongi
https://golemlab.eu/graph/19256164,1225,Bunny Blues,"hybrid!au | bunny!reader, dog!jungkook, human!yoongi",2019-06-17,16893.0,Explicit,F/M,In-Progress,Bullying | Crying | Dirty Talk | Doctor!Seokjin | Hurt/Comfort | Jealousy | Referenced past abuse | Seperation | Sexual Tension | Size Difference | Slight Virgin Kink | Vaginal Fingering | hybrid!taehyung | implied jk jerking off | implied/references sex toys | jungkook is also a dick im sorry again | mentions of jk's knot | namjoon is a dick im sorry | protective!jk | protective/possessive!jk,"Jeon Jungkook/Reader, Kim Namjoon | RM/Reader, Min Yoongi | Suga/Reader",jungkook
https://golemlab.eu/graph/5753209,1222,The Unwanted Alpha,"You curse the day you came of age and presented as an Alpha! A female Alpha is super rare, about 1% of the female population identify as Alpha and wasn’t it fan- fucking-tastic that you beat those odds.",2016-01-18,36229.0,Mature,F/M,In-Progress,Alpha/Beta/Omega Dynamics | Alternate Universe - Werewolf | Angst | Eventual Smut | Romance | Slice of Life,Jeon Jungkook/Reader,jungkook
https://golemlab.eu/graph/16482089,1208,Blue Moon,"SUPERNATURAL AU | Jeongguk x Reader | For Van’s (Y/N) 21st birthday, she inherits a flower shop from her estranged grandmother, almost gets eaten by a demon and meets her seven drop-dead gorgeous neighbors - who are all creatures of the supernatural. Worse yet, they all seem to think that she’s a witch who knew them when she was a child! At first, Van refuses to believe them, but as time passes, she grows attached to the seven men who have taken over her life, and she begins to think that they might be right. As Van searches for answers about her past and why she had forgotten who she is, evil begins to stir again. The sea starts to clash angrily, rogue vampires are attacking innocent humans, ghosts are haunting small towns, a clash of wolves is approaching, and Van seems to find herself in the middle of it all. The future is unknown, but with the help of her self-discovered family Van can take on anything. CURRENTLY EDITING",2018-11-01,118321.0,Teen And Up Audiences,F/M,In-Progress,Alternate Universe - Supernatural Elements | Bad Puns | Blood Drinking | Choose Your Own Adventure | Female Reader | Fluff and Angst | Jeon Jeongguk is shy and over protective | Jeon Jungkook & Min Yoongi | Suga are Siblings | Jung Hoseok has a potty mouth | Kim Taehyung | V & Park Jimin are Best Friends | Kim Taehyung | V is a Sweetheart | Magic | Min Yoongi is a shy boy | Siren Kim Seokjin | Siren Kim Taehyung | Vampire Jung Hoseok | J-Hope | Vampire Kim Namjoon | RM | Vampire Park Jimin | Werewolf Jeon Jungkook | Werewolf Yoongi | Suga | flower shop au | tatted Jeongguk,"Jeon Jungkook/Reader, Jung Hoseok | J-Hope/Reader, Kim Namjoon | RM/Reader, Kim Seokjin | Jin/Reader, Kim Taehyung | V/Reader, Min Yoongi | Suga/Reader, Park Jimin (BTS)/Reader",jungkook
