s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/27733393,King Agust D,"“Fuck ____!” “Shhhh *giggle* they’ll hear us!” Yoongi swore again and you muffled your resulting giggles against his lips as your hands fumbled excitedly with the ties of his costume pants. Everyone else on set had gone off to lunch break in the catering area, which left you and your boyfriend alone in the castle.",2020-11-27,1248,Explicit,F/M,Completed,69,yoongi,Explicit Sexual Content | Public Sex,Min Yoongi | Suga/Reader,"['Explicit Sexual Content', 'Public Sex']","['Explicit Sexual Content', 'Public Sex']",[],[],[],king [MEMBER],"“fuck ____!” “shhhh *giggle* they’ll hear us!” [MEMBER] swore again and you muffled your resulting giggles against his lips as your hands fumbled excitedly with the ties of his costume pants. everyone else on set had gone off to lunch break in the catering area, which left you and your boyfriend alone in the castle.","king [MEMBER] [SEP] “fuck ____!” “shhhh *giggle* they’ll hear us!” [MEMBER] swore again and you muffled your resulting giggles against his lips as your hands fumbled excitedly with the ties of his costume pants. everyone else on set had gone off to lunch break in the catering area, which left you and your boyfriend alone in the castle.","explicit sexual content, public sex",False,False
https://golemlab.eu/graph/32022922,Falling for Sin | M.YG,"""I've heard shy girls are the loudest on bed. I wanna see it for myself."" Yoongi the florist falls for the already-smitten-for-him Y/N. But for her, is loving him a sin? How does her world crumble when her elder brother comes to know of their relationship? Written in alternating first person POVs of both the reader and of Yoongi. © CYPHERH0E, 2021. I don't permit copying, editing, reposting on this or other platforms or translating.",2021-06-18,20063,Explicit,F/M,In-Progress,69,yoongi,Accidental Voyeurism | Age Difference | Alternate Universe - Flower Shop | Alternate Universe - High School | Consensual Sex | Exhibitionism | Falling In Love | First Kiss | First Time | Florist Min Yoongi | Suga | Fluff | Hickeys | Loss of Virginity | Love Confessions | Love at First Sight | Pet Names | Porn With Plot | Reader Is a Student | Self-Harm | Shameless Smut | Smut | This is Bad | Tragic Romance | Uniform Kink | Virginity Kink | Voyeur Jeon Jungkook | Yandere Min Yoongi | Suga,Min Yoongi | Suga/Reader,"['Accidental Voyeurism', 'Age Difference', 'Alternate Universe - Flower Shop', 'Alternate Universe - High School', 'Consensual Sex', 'Exhibitionism', 'Falling In Love', 'First Kiss', 'First Time', 'Florist Min Yoongi', 'Suga', 'Fluff', 'Hickeys', 'Loss of Virginity', 'Love Confessions', 'Love at First Sight', 'Pet Names', 'Porn With Plot', 'Reader Is a Student', 'Self-Harm', 'Shameless Smut', 'Smut', 'This is Bad', 'Tragic Romance', 'Uniform Kink', 'Virginity Kink', 'Voyeur Jeon Jungkook', 'Yandere Min Yoongi', 'Suga']","['Accidental Voyeurism', 'Age Difference', 'Alternate Universe - Flower Shop', 'Alternate Universe - High School', 'Consensual Sex', 'Exhibitionism', 'Falling In Love', 'First Kiss', 'First Time', 'Fluff', 'Loss of Virginity', 'Love Confessions', 'Love at First Sight', 'Pet Names', 'Porn With Plot', 'Self-Harm', 'Shameless Smut', 'Smut', 'Tragic Romance', 'Uniform Kink', 'Virginity Kink']","['Florist Min Yoongi', 'Suga', 'Hickeys', 'Yandere Min Yoongi', 'Suga']",['Voyeur Jeon Jungkook'],"['voyeur [MEMBER]', 'florist [MEMBER]', '[MEMBER]', 'hickeys', 'yandere [MEMBER]', '[MEMBER]']",falling for sin | m.yg,"""i've heard shy girls are the loudest on bed. i wanna see it for myself."" [MEMBER] the florist falls for the already-smitten-for-him You. but for her, is loving him a sin? how does her world crumble when her elder brother comes to know of their relationship? written in alternating first person povs of both the reader and of [MEMBER].","falling for sin | m.yg [SEP] ""i've heard shy girls are the loudest on bed. i wanna see it for myself."" [MEMBER] the florist falls for the already-smitten-for-him You. but for her, is loving him a sin? how does her world crumble when her elder brother comes to know of their relationship? written in alternating first person povs of both the reader and of [MEMBER].","accidental voyeurism, age difference, alternate universe - flower shop, alternate universe - high school, consensual sex, exhibitionism, falling in love, first kiss, first time, fluff, loss of virginity, love confessions, love at first sight, pet names, porn with plot, self-harm, shameless smut, smut, tragic romance, uniform kink, virginity kink, voyeur [member], florist [member], [member], hickeys, yandere [member], [member]",False,False
https://golemlab.eu/graph/28842618,Bedrock,Yoongi gets home late. He missed you.,2021-01-18,920,Explicit,F/M,Completed,69,yoongi,Consensual Somnophilia | a schist-load of geology metaphors,Min Yoongi | Suga/Reader,"['Consensual Somnophilia', 'a schist-load of geology metaphors']",['Consensual Somnophilia'],[],[],[],bedrock,[MEMBER] gets home late. he missed you.,bedrock [SEP] [MEMBER] gets home late. he missed you.,consensual somnophilia,False,False
https://golemlab.eu/graph/9200369,Tell Me What You Want Right Now,"'Getting a sugar daddy had never been a part of your life plan when you'd started university - study hard, work a shitty part time job and barely survive, that was how you were expecting it to go' A Yoongi x reader sugar daddy fic Smut will be added in later chapters",2017-01-04,7679,Explicit,F/F,In-Progress,69,yoongi,Alternate Universe - College/University | Sugar Daddy | Swearing | business man Yoongi | mentions of other members and idols | slow build romance | there will smut be later in the fic,Min Yoongi | Suga/Reader,"['Alternate Universe - College/University', 'Sugar Daddy', 'Swearing', 'business man Yoongi', 'mentions of other members and idols', 'slow build romance', 'there will smut be later in the fic']","['Alternate Universe - College/University', 'Sugar Daddy', 'Swearing']",[],[],[],tell me what you want right now,"'getting a sugar daddy had never been a part of your life plan when you'd started university - study hard, work a shitty part time job and barely survive, that was how you were expecting it to go' a [MEMBER] reader sugar daddy fic smut will be added in later chapters","tell me what you want right now [SEP] 'getting a sugar daddy had never been a part of your life plan when you'd started university - study hard, work a shitty part time job and barely survive, that was how you were expecting it to go' a [MEMBER] reader sugar daddy fic smut will be added in later chapters","alternate universe - college/university, sugar daddy, swearing",False,False
https://golemlab.eu/graph/23322835,let’s become each other’s resting place,"For four years you’ve grown together, planted small seeds of your future plans and nurtured them through time. You both know where you’re headed, but both of you also agreed that now is not the time to come out to the world about your relationship. There’s no bitterness between you when it comes to that decision, and Yoongi feels eternally grateful for your understanding. You’re just grateful Yoongi is still with you at all.",2020-04-01,3394,Teen And Up Audiences,F/M,Completed,69,yoongi,Alternate Universe | Established Relationship | Famous Rapper Min Yoongi | Suga | Fluff | For Anyone Who Needs Some Soft and Fluffy Delulu Material | Inspired by Music | Light Angst | Like Really Really Light Angst It Is Barely There I Swear | Long-Distance Relationship | Min Yoongi | Suga Is Whipped | One Shot | Soft Min Yoongi | Suga,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You","['Alternate Universe', 'Established Relationship', 'Famous Rapper Min Yoongi', 'Suga', 'Fluff', 'For Anyone Who Needs Some Soft and Fluffy Delulu Material', 'Inspired by Music', 'Light Angst', 'Like Really Really Light Angst It Is Barely There I Swear', 'Long-Distance Relationship', 'Min Yoongi', 'Suga Is Whipped', 'One Shot', 'Soft Min Yoongi', 'Suga']","['Alternate Universe', 'Established Relationship', 'Fluff', 'Inspired by Music', 'Light Angst', 'Long-Distance Relationship', 'One Shot']","['Famous Rapper Min Yoongi', 'Suga', 'Min Yoongi', 'Suga Is Whipped', 'Soft Min Yoongi', 'Suga']",[],"['famous rapper [MEMBER]', '[MEMBER]', '[MEMBER]', '[MEMBER] is whipped', 'soft [MEMBER]', '[MEMBER]']",let’s become each other’s resting place,"for four years you’ve grown together, planted small seeds of your future plans and nurtured them through time. you both know where you’re headed, but both of you also agreed that now is not the time to come out to the world about your relationship. there’s no bitterness between you when it comes to that decision, and [MEMBER] feels eternally grateful for your understanding. you’re just grateful [MEMBER] is still with you at all.","let’s become each other’s resting place [SEP] for four years you’ve grown together, planted small seeds of your future plans and nurtured them through time. you both know where you’re headed, but both of you also agreed that now is not the time to come out to the world about your relationship. there’s no bitterness between you when it comes to that decision, and [MEMBER] feels eternally grateful for your understanding. you’re just grateful [MEMBER] is still with you at all.","alternate universe, established relationship, fluff, inspired by music, light angst, long-distance relationship, one shot, famous rapper [member], [member], [member], [member] is whipped, soft [member], [member]",False,False
https://golemlab.eu/graph/12088707,I'm Becoming Ruined,"While on vacation, Yoongi finds himself wondering why you would possibly want to stay with him, leading you to explain a few reasons why.",2016-03-08,1378,General Audiences,F/M,Completed,69,yoongi,Declarations Of Love | Fluff | Love | Ocean | Seaside | Vacation,Min Yoongi | Suga/Reader,"['Declarations Of Love', 'Fluff', 'Love', 'Ocean', 'Seaside', 'Vacation']","['Declarations Of Love', 'Fluff', 'Love', 'Ocean', 'Seaside', 'Vacation']",[],[],[],i'm becoming ruined,"while on vacation, [MEMBER] finds himself wondering why you would possibly want to stay with him, leading you to explain a few reasons why.","i'm becoming ruined [SEP] while on vacation, [MEMBER] finds himself wondering why you would possibly want to stay with him, leading you to explain a few reasons why.","declarations of love, fluff, love, ocean, seaside, vacation",False,False
https://golemlab.eu/graph/12272274,old habits,"Part of a drabble challenge. Prompts: ""So you didn't want me to go, just not enough to ask me to stay?"" / ""Please, stay."" / ""Wait, that wasn't a joke?""",2017-10-05,1558,General Audiences,F/M,Completed,69,yoongi,Angst | Fluff | Reader-Insert,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You","['Angst', 'Fluff', 'Reader-Insert']","['Angst', 'Fluff', 'Reader-Insert']",[],[],[],old habits,"""so you didn't want me to go, just not enough to ask me to stay?"" / ""please, stay."" / ""wait, that wasn't a joke?""","old habits [SEP] ""so you didn't want me to go, just not enough to ask me to stay?"" / ""please, stay."" / ""wait, that wasn't a joke?""","angst, fluff, reader-insert",False,False
https://golemlab.eu/graph/18096413,KAIROS,"You’re now a member of Big Hit. You have to manage an internship before leaving with everyone to Japan for the tour. But before that, someone from the company gave you a suit to drop it in the boy’s dorm. You thought the dorm was empty. Oh-you were so wrong.",2019-03-13,9053,General Audiences,F/M,Completed,69,yoongi,Cute Min Yoongi | Suga | Fluff and Angst | Fluffy Ending | Idol Min Yoongi | Suga | Min Yoongi | Suga is Bad at Feelings | Staff Reader,Min Yoongi | Suga/Reader,"['Cute Min Yoongi', 'Suga', 'Fluff and Angst', 'Fluffy Ending', 'Idol Min Yoongi', 'Suga', 'Min Yoongi', 'Suga is Bad at Feelings', 'Staff Reader']","['Fluff and Angst', 'Fluffy Ending']","['Cute Min Yoongi', 'Suga', 'Idol Min Yoongi', 'Suga', 'Min Yoongi', 'Staff Reader']",[],"['cute [MEMBER]', '[MEMBER]', 'idol [MEMBER]', '[MEMBER]', '[MEMBER]', 'staff reader']",kairos,"you’re now a member of big hit. you have to manage an internship before leaving with everyone to japan for the tour. but before that, someone from the company gave you a suit to drop it in the boy’s dorm. you thought the dorm was empty. oh-you were so wrong.","kairos [SEP] you’re now a member of big hit. you have to manage an internship before leaving with everyone to japan for the tour. but before that, someone from the company gave you a suit to drop it in the boy’s dorm. you thought the dorm was empty. oh-you were so wrong.","fluff and angst, fluffy ending, cute [member], [member], idol [member], [member], [member], staff reader",False,False
https://golemlab.eu/graph/12830733,First times and first bites,Two strangers meet one lucky night at a bar and decide to hook up to relieve stress. Turns out the attractive guy was actually a vampire. They get addicted to each other and it slowly develops into mutual feelings of love.,2017-11-26,1697,Mature,F/M,Completed,69,yoongi,Addiction | Alternate Universe | Alternate Universe - Vampire | Biting | Blood Addiction | Blood Drinking | Drinking | Friends With Benefits | I Blame Tumblr | Love Confessions | Mild Sexual Content | Min Yoongi | Suga Is a Little Shit | Morning After | Rough Sex | Sex | Sex Addiction | Toxic Relationship | Vampire Min Yoongi | Suga | fangs,Min Yoongi | Suga/Reader,"['Addiction', 'Alternate Universe', 'Alternate Universe - Vampire', 'Biting', 'Blood Addiction', 'Blood Drinking', 'Drinking', 'Friends With Benefits', 'I Blame Tumblr', 'Love Confessions', 'Mild Sexual Content', 'Min Yoongi', 'Suga Is a Little Shit', 'Morning After', 'Rough Sex', 'Sex', 'Sex Addiction', 'Toxic Relationship', 'Vampire Min Yoongi', 'Suga', 'fangs']","['Addiction', 'Alternate Universe', 'Alternate Universe - Vampire', 'Biting', 'Blood Drinking', 'Drinking', 'Friends With Benefits', 'I Blame Tumblr', 'Love Confessions', 'Mild Sexual Content', 'Morning After', 'Rough Sex', 'Sex', 'Sex Addiction']","['Blood Addiction', 'Min Yoongi', 'Toxic Relationship', 'Vampire Min Yoongi', 'Suga']",[],"['blood addiction', '[MEMBER]', 'toxic relationship', 'vampire [MEMBER]', '[MEMBER]']",first times and first bites,two strangers meet one lucky night at a bar and decide to hook up to relieve stress. turns out the attractive guy was actually a vampire. they get addicted to each other and it slowly develops into mutual feelings of love.,first times and first bites [SEP] two strangers meet one lucky night at a bar and decide to hook up to relieve stress. turns out the attractive guy was actually a vampire. they get addicted to each other and it slowly develops into mutual feelings of love.,"addiction, alternate universe, alternate universe - vampire, biting, blood drinking, drinking, friends with benefits, love confessions, mild sexual content, morning after, rough sex, sex, sex addiction, blood addiction, [member], toxic relationship, vampire [member], [member]",False,False
https://golemlab.eu/graph/14499798,So far away,"Min Yoongi fan fiction in which he meets Y/N in his dreams. BTS MYG x READER. Yg: Wait, is this for real? Are you a real person?  I don’t understand…? Fuck. This is really weird. I don’t know how to feel about it. I don’t like it. It was nice meeting you and you are a sweet girl, but I will never do this again. It’s freaking me out. ...Bye. Soulmates, fluff, fantasy.",2018-05-01,9326,General Audiences,F/M,Completed,68,yoongi,BTS AU | BTS fluff | Bts min yoongi | Crack | Cute Min Yoongi | Suga | Dreams | Fluff | Fluff and Crack | Min yoongi fluff x reader | Romantic Fluff | Romantic Soulmates | Soulmates | Yoongi fluff | Yoongi soulmates | bts - Freeform | bts fanfic | bts ff | bts suga | dream - Freeform | min yoongi fluff | min yoongi imagine | mutual dreams | myg ff | myg fluff | so far away | suga dream | suga imagine | suga x reader | yoongi dream | yoongi imagine | yoongi x reader - Freeform,"Min Yoongi | Suga/Reader, Min Yoongi | Suga/You","['BTS AU', 'BTS fluff', 'Bts min yoongi', 'Crack', 'Cute Min Yoongi', 'Suga', 'Dreams', 'Fluff', 'Fluff and Crack', 'Min yoongi fluff x reader', 'Romantic Fluff', 'Romantic Soulmates', 'Soulmates', 'Yoongi fluff', 'Yoongi soulmates', 'bts - Freeform', 'bts fanfic', 'bts ff', 'bts suga', 'dream - Freeform', 'min yoongi fluff', 'min yoongi imagine', 'mutual dreams', 'myg ff', 'myg fluff', 'so far away', 'suga dream', 'suga imagine', 'suga x reader', 'yoongi dream', 'yoongi imagine', 'yoongi x reader - Freeform']","['Crack', 'Dreams', 'Fluff', 'Fluff and Crack', 'Romantic Fluff', 'Romantic Soulmates', 'Soulmates']","['Cute Min Yoongi', 'Suga']",[],"['cute [MEMBER]', '[MEMBER]']",so far away,"[MEMBER] fan fiction in which he meets You in his dreams. bts [MEMBER] x reader. yg: wait, is this for real? are you a real person?  i don’t understand…? fuck. this is really weird. i don’t know how to feel about it. i don’t like it. it was nice meeting you and you are a sweet girl, but i will never do this again. it’s freaking me out. ...bye. soulmates, fluff, fantasy.","so far away [SEP] [MEMBER] fan fiction in which he meets You in his dreams. bts [MEMBER] x reader. yg: wait, is this for real? are you a real person?  i don’t understand…? fuck. this is really weird. i don’t know how to feel about it. i don’t like it. it was nice meeting you and you are a sweet girl, but i will never do this again. it’s freaking me out. ...bye. soulmates, fluff, fantasy.","crack, dreams, fluff, fluff and crack, romantic fluff, romantic soulmates, soulmates, cute [member], [member]",False,False
