s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,noncanonical_tags,filtered_noncanonical_tags,bts_tags
https://golemlab.eu/graph/16897086,Ready,"Y/n wakes up with a pain in her stomach and a need to be bred by her mate, Alpha Jin.",2018-12-07,3756,Explicit,F/M,Completed,315,seokjin,Breeding Kink | Creampie | Hair-pulling | Impregnation Kink | Knotting | Pregnancy | Spanking | Unprotected Sex | Wolf AU,Kim Seokjin | Jin/Reader,"['Breeding Kink', 'Creampie', 'Hair-pulling', 'Impregnation Kink', 'Knotting', 'Pregnancy', 'Spanking', 'Unprotected Sex', 'Wolf AU']","['Creampie', 'Hair-pulling', 'Knotting', 'Pregnancy', 'Spanking']","['Breeding Kink', 'Impregnation Kink', 'Unprotected Sex', 'Wolf AU']","['Breeding Kink', 'Impregnation Kink', 'Unprotected Sex', 'Wolf AU']",[]
https://golemlab.eu/graph/21346510,Cake || Seokjin x Reader,"""I was always hungry for your love. Just once, I wanted to know what it was like to get my fill of it. I wanted to be fed so much love that I couldn't take it anymore, just once.""",2019-11-07,93883,Mature,F/M,In-Progress,309,seokjin,Alternate Universe - Serial Killers | Angst | Blindfolds | Blood Kink | Brainwashing | Cannibalism | Cannibalism Play | Cannibalistic Thoughts | Cute Kim Seokjin | Jin | Detective Kim Namjoon | RM | Doctor Kim Seokjin | Jin | Dom Kim Seokjin | Jin | Emotional/Psychological Abuse | Eventual Smut | Fanfiction | First Time | Fluff and Angst | Gaslighting | Handcuffs | Hostage Situations | Implied/Referenced Child Abuse | Implied/Referenced Torture | Jung Hoseok | J-Hope is a Sweetheart | Kidnapping | Kink Exploration | Light Bondage | Loss of Virginity | Manipulative Relationship | Masturbation | Mentioned Jung Hoseok | J-Hope | Mentioned Kim Namjoon | RM | Mild Gore | Murder Mystery | Murder-Suicide | Obedience | Obsessive Behavior | Praise Kink | Psychopath Kim Seokjin | Jin | Rape Fantasy | Rape/Non-con Elements | Reader-Insert | Religious Imagery & Symbolism | Romance | Serial Killers | Stockholm Syndrome | Sweet Kim Seokjin | Jin | Thriller | Tragic Romance | Unhealthy Relationships | Verbal Abuse | Yandere | Yandere Bangtan Boys | BTS | yandere kim seokjin,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You","['Alternate Universe - Serial Killers', 'Angst', 'Blindfolds', 'Blood Kink', 'Brainwashing', 'Cannibalism', 'Cannibalism Play', 'Cannibalistic Thoughts', 'Cute Kim Seokjin', 'Jin', 'Detective Kim Namjoon', 'RM', 'Doctor Kim Seokjin', 'Jin', 'Dom Kim Seokjin', 'Jin', 'Emotional/Psychological Abuse', 'Eventual Smut', 'Fanfiction', 'First Time', 'Fluff and Angst', 'Gaslighting', 'Handcuffs', 'Hostage Situations', 'Implied/Referenced Child Abuse', 'Implied/Referenced Torture', 'Jung Hoseok', 'J-Hope is a Sweetheart', 'Kidnapping', 'Kink Exploration', 'Light Bondage', 'Loss of Virginity', 'Manipulative Relationship', 'Masturbation', 'Mentioned Jung Hoseok', 'J-Hope', 'Mentioned Kim Namjoon', 'RM', 'Mild Gore', 'Murder Mystery', 'Murder-Suicide', 'Obedience', 'Obsessive Behavior', 'Praise Kink', 'Psychopath Kim Seokjin', 'Jin', 'Rape Fantasy', 'Rape/Non-con Elements', 'Reader-Insert', 'Religious Imagery & Symbolism', 'Romance', 'Serial Killers', 'Stockholm Syndrome', 'Sweet Kim Seokjin', 'Jin', 'Thriller', 'Tragic Romance', 'Unhealthy Relationships', 'Verbal Abuse', 'Yandere', 'Yandere Bangtan Boys', 'BTS', 'yandere kim seokjin']","['Alternate Universe - Serial Killers', 'Angst', 'Blindfolds', 'Blood Kink', 'Brainwashing', 'Cannibalism', 'Cannibalism Play', 'Cannibalistic Thoughts', 'Emotional/Psychological Abuse', 'Eventual Smut', 'Fanfiction', 'First Time', 'Fluff and Angst', 'Gaslighting', 'Handcuffs', 'Hostage Situations', 'Implied/Referenced Child Abuse', 'Implied/Referenced Torture', 'Kidnapping', 'Kink Exploration', 'Light Bondage', 'Loss of Virginity', 'Manipulative Relationship', 'Masturbation', 'Mild Gore', 'Murder Mystery', 'Murder-Suicide', 'Obedience', 'Obsessive Behavior', 'Praise Kink', 'Rape Fantasy', 'Rape/Non-con Elements', 'Reader-Insert', 'Religious Imagery & Symbolism', 'Romance', 'Serial Killers', 'Stockholm Syndrome', 'Thriller', 'Tragic Romance', 'Unhealthy Relationships', 'Verbal Abuse', 'Yandere']","['Cute Kim Seokjin', 'Jin', 'Detective Kim Namjoon', 'RM', 'Doctor Kim Seokjin', 'Jin', 'Dom Kim Seokjin', 'Jin', 'Jung Hoseok', 'J-Hope is a Sweetheart', 'Mentioned Jung Hoseok', 'J-Hope', 'Mentioned Kim Namjoon', 'RM', 'Psychopath Kim Seokjin', 'Jin', 'Sweet Kim Seokjin', 'Jin', 'Yandere Bangtan Boys', 'BTS', 'yandere kim seokjin']","['Cute Kim Seokjin', 'Jin', 'Detective Kim Namjoon', 'Doctor Kim Seokjin', 'Jin', 'Dom Kim Seokjin', 'Jin', 'Jung Hoseok', 'Mentioned Jung Hoseok', 'J-Hope', 'Mentioned Kim Namjoon', 'Psychopath Kim Seokjin', 'Jin', 'Sweet Kim Seokjin', 'Jin', 'Yandere Bangtan Boys']",[]
https://golemlab.eu/graph/16957518,The 'mum' friend,Jin is a little tired of being the mum friend. friends-to-lovers!drabble series featuring mumfriend!Jin Jin x reader,2018-12-12,11613,Teen And Up Audiences,F/M,Completed,290,seokjin,Fluff | Friends to Lovers | Or Is It? | Pining | Unrequited Love | lots and lots of fluff | maybe a little bit of mutual pining? | mild drunken shenanigans at some point,Kim Seokjin | Jin/Reader,"['Fluff', 'Friends to Lovers', 'Or Is It?', 'Pining', 'Unrequited Love', 'lots and lots of fluff', 'maybe a little bit of mutual pining?', 'mild drunken shenanigans at some point']","['Fluff', 'Friends to Lovers', 'Pining', 'Unrequited Love']","['Or Is It?', 'lots and lots of fluff', 'maybe a little bit of mutual pining?', 'mild drunken shenanigans at some point']",['Or Is It?'],[]
https://golemlab.eu/graph/8521327,(you’re the only friend i need) sharing beds like little kids,"seokjin had noticed how different you looked since he last saw you from the moment you walked in the door. you hadn’t grown much taller, but your body had changed; you had developed more, you were curvier, and you didn’t have that naïve look in your eyes anymore. you weren’t the little girl he had left behind. you were a woman now and seokjin didn’t know how to feel about that.",2016-11-15,6297,Explicit,F/M,Completed,288,seokjin,Age Difference | Blonde Jin | Childhood Friends | Fire Era | Friends to Lovers | Jealousy | Masturbation | Oppa Kink | Pining | Sharing a Bed | Vaginal Sex | Y/N is of legal age | sappy ending bc i'm a sappy person,Kim Seokjin | Jin/Reader,"['Age Difference', 'Blonde Jin', 'Childhood Friends', 'Fire Era', 'Friends to Lovers', 'Jealousy', 'Masturbation', 'Oppa Kink', 'Pining', 'Sharing a Bed', 'Vaginal Sex', 'Y/N is of legal age', ""sappy ending bc i'm a sappy person""]","['Age Difference', 'Childhood Friends', 'Friends to Lovers', 'Jealousy', 'Masturbation', 'Oppa Kink', 'Pining', 'Sharing a Bed', 'Vaginal Sex']","['Blonde Jin', 'Fire Era', 'Y/N is of legal age', ""sappy ending bc i'm a sappy person""]","['Blonde Jin', 'Fire Era']",[]
https://golemlab.eu/graph/25577479,The Man In The Woods,"When you went for a walk in the woods, you weren’t exactly expecting to find a man passed out. Or find out that he wasn’t of this world. But that’s exactly what happened. Alien!SeokjinxReader",2020-07-28,6247,Explicit,F/M,Completed,272,seokjin,Alien!AU | Choking | Come Eating | Come Shot | Come Swallowing | Consent | Double Penetration | Double Penetration in One Hole | Double Penetration in Two Holes | Double Vaginal Penetration | Enthusiastic Consent | Explicit Consent | Gratuitous Smut | Human/Monster Romance | Oral Sex | PWP | Porn Without Plot | Restraints | Sex | Shameless Smut | Smut | Tentacle Dick | Tentacle Monsters | Tentacle Sex | Tentacles | Vaginal Sex | monster cock | porn what plot? | porn with little plot,Kim Seokjin | Jin/Reader Series: Jintacles AU [1],"['Alien!AU', 'Choking', 'Come Eating', 'Come Shot', 'Come Swallowing', 'Consent', 'Double Penetration', 'Double Penetration in One Hole', 'Double Penetration in Two Holes', 'Double Vaginal Penetration', 'Enthusiastic Consent', 'Explicit Consent', 'Gratuitous Smut', 'Human/Monster Romance', 'Oral Sex', 'PWP', 'Porn Without Plot', 'Restraints', 'Sex', 'Shameless Smut', 'Smut', 'Tentacle Dick', 'Tentacle Monsters', 'Tentacle Sex', 'Tentacles', 'Vaginal Sex', 'monster cock', 'porn what plot?', 'porn with little plot']","['Choking', 'Come Eating', 'Come Shot', 'Come Swallowing', 'Consent', 'Double Penetration', 'Double Penetration in One Hole', 'Double Penetration in Two Holes', 'Double Vaginal Penetration', 'Enthusiastic Consent', 'Explicit Consent', 'Gratuitous Smut', 'Human/Monster Romance', 'Oral Sex', 'Restraints', 'Sex', 'Shameless Smut', 'Smut', 'Tentacle Dick', 'Tentacle Monsters', 'Tentacle Sex', 'Tentacles', 'Vaginal Sex']","['Alien!AU', 'PWP', 'Porn Without Plot', 'monster cock', 'porn what plot?', 'porn with little plot']","['Alien!AU', 'Porn Without Plot']",[]
https://golemlab.eu/graph/18770566,The Devil Wears Armani,You never imagined accidentally attempting to sell your soul to the devil would lead to this…,2019-05-09,25280,Explicit,F/M,Completed,270,seokjin,Devil BTS | Devil! Seokjin | Devil/Human | Humor | Light Angst | Slow Burn | Smut | devil au | master kink | repost from tumblr,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: The Devil Wears Armani Saga [1]","['Devil BTS', 'Devil! Seokjin', 'Devil/Human', 'Humor', 'Light Angst', 'Slow Burn', 'Smut', 'devil au', 'master kink', 'repost from tumblr']","['Humor', 'Light Angst', 'Slow Burn', 'Smut']","['Devil BTS', 'Devil! Seokjin', 'Devil/Human', 'devil au', 'master kink', 'repost from tumblr']","['Devil BTS', 'Devil! Seokjin', 'Devil/Human']",[]
https://golemlab.eu/graph/28677339,Made-up Love Song,"Your first encounter with Kim Seokjin doesn’t go so well, nor your second, or your third… and maybe that’s because it shouldn’t work on paper. You’re an elementary school teacher living with your best friend, and have never left the country despite hitting the third decade of your life not so long ago. He’s the dad of one of your students, nearly a decade older than you and divorced. Oh yes, and just another minor detail – he’s a multimillionaire. Your lives are lightyears apart, yet somehow, your paths having now crossed, things just seem to fall into place…",2021-01-10,100996,Explicit,F/M,Completed,263,seokjin,69 | Angst | Arguments | Biting (Light) | CEO Seokjin | Creampie | Elementary school teacher OC | Happy Ending | Jin is 37 OC is 30 | Kissing | Morning Sex | Oral Sex | Outdoor Sex | Romance | Shower Sex | Single Dad AU | Smut | Spanking (Light) | Strangers to Lovers | age gap | dilf seokjin | face riding | romantic sex,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You Series: Made-up Love Song [1]","['69', 'Angst', 'Arguments', 'Biting (Light)', 'CEO Seokjin', 'Creampie', 'Elementary school teacher OC', 'Happy Ending', 'Jin is 37 OC is 30', 'Kissing', 'Morning Sex', 'Oral Sex', 'Outdoor Sex', 'Romance', 'Shower Sex', 'Single Dad AU', 'Smut', 'Spanking (Light)', 'Strangers to Lovers', 'age gap', 'dilf seokjin', 'face riding', 'romantic sex']","['Angst', 'Creampie', 'Happy Ending', 'Kissing', 'Morning Sex', 'Oral Sex', 'Outdoor Sex', 'Romance', 'Shower Sex', 'Smut', 'Strangers to Lovers']","['69', 'Arguments', 'Biting (Light)', 'CEO Seokjin', 'Elementary school teacher OC', 'Jin is 37 OC is 30', 'Single Dad AU', 'Spanking (Light)', 'age gap', 'dilf seokjin', 'face riding', 'romantic sex']","['Arguments', 'Biting (Light)', 'CEO Seokjin', 'Single Dad AU', 'Spanking (Light)']",[]
https://golemlab.eu/graph/20097601,Off Limits,"You’ve been lusting after your brother’s best friend for a while now, ever since you met him at a house party, flirting it up a storm as you failed to realise who the other was. That was months ago now and things are still awkward, but you can’t ignore the sexual tension that simmers between the two of you…and it only keeps getting worse…",2019-08-03,82931,Explicit,F/M,Completed,260,seokjin,Angst | Romance | Smut | Written in 2017 | brother's best friend au | repost from tumblr,"Kim Seokjin | Jin/Reader, Kim Seokjin | Jin/You","['Angst', 'Romance', 'Smut', 'Written in 2017', ""brother's best friend au"", 'repost from tumblr']","['Angst', 'Romance', 'Smut']","['Written in 2017', ""brother's best friend au"", 'repost from tumblr']",[],[]
https://golemlab.eu/graph/5651080,Halloween Hookups-Mario Edition,"""I can't believe I had sex with a guy dressed as Mario.""",2016-01-06,1528,Explicit,F/M,Completed,259,seokjin,Halloween | Jin dressed as Mario | Jin is both sexy and kind of sweet and fluffy | Smut | hookup | min yoongi for like 2 sentences,Kim Seokjin | Jin/Reader Series: Halloween Hookups [1],"['Halloween', 'Jin dressed as Mario', 'Jin is both sexy and kind of sweet and fluffy', 'Smut', 'hookup', 'min yoongi for like 2 sentences']","['Halloween', 'Smut']","['Jin dressed as Mario', 'Jin is both sexy and kind of sweet and fluffy', 'hookup', 'min yoongi for like 2 sentences']",[],[]
https://golemlab.eu/graph/7321516,You're Mine (Not Theirs),"Seokjin and his girlfriend are fighting so Bangtan takes advantage by keeping her all to themselves. Seokjin was having none of that. (or where Seokjin is a petty, jealous boyfriend and Jungkook is a brat that demands all attention and cuddles. Definitely cuddles.)",2016-06-27,1918,General Audiences,F/M,Completed,256,seokjin,Couple Fight | Fluffy Ending | angst? kind of? not really?,Kim Seokjin | Jin/Reader,"['Couple Fight', 'Fluffy Ending', 'angst? kind of? not really?']",['Fluffy Ending'],"['Couple Fight', 'angst? kind of? not really?']",['Couple Fight'],[]
