s,title,summary,datePublished,words,rating,romanticCategory,publicationStatus,kudos,member,keyword,relationship,tag_list,canonical_tags,non-canonical_tags,bts_tags,bts_tags_masked,title_masked,summary_masked,text_masked,tags_masked,summary_flagged,tags_flagged
https://golemlab.eu/graph/31430066,home for christmas,not being able to go home for the holidays takes a toll on you,2021-05-21,914,General Audiences,Gen,Completed,5,hoseok,Alcohol | Christmas Fluff | Friends to Lovers | mulled wine is being drunk,Jung Hoseok | J-Hope/Reader,"['Alcohol', 'Christmas Fluff', 'Friends to Lovers', 'mulled wine is being drunk']","['Alcohol', 'Christmas Fluff', 'Friends to Lovers']",[],[],[],home for christmas,not being able to go home for the holidays takes a toll on you,home for christmas [SEP] not being able to go home for the holidays takes a toll on you,"alcohol, christmas fluff, friends to lovers",False,False
https://golemlab.eu/graph/34977382,Like A Drug,Another day another argument,2021-11-07,633,Mature,F/M,Completed,5,hoseok,Arguments | Fighting | Short One Shot | Smut,Jung Hoseok | J-Hope/Reader,"['Arguments', 'Fighting', 'Short One Shot', 'Smut']","['Short One Shot', 'Smut']","['Arguments', 'Fighting']",[],"['arguments', 'fighting']",like a drug,another day another argument,like a drug [SEP] another day another argument,"short one shot, smut, arguments, fighting",False,False
https://golemlab.eu/graph/33626965,Newly Weds,Your wedding night as Mrs. Jung Hoseok.,2021-09-01,3201,Teen And Up Audiences,F/M,Completed,5,hoseok,J-Hope fluff | bts scenario | hoseok scenario | j-hope scenario,Jung Hoseok | J-Hope/Reader Series: BTS Scenarios [4],"['J-Hope fluff', 'bts scenario', 'hoseok scenario', 'j-hope scenario']",[],[],[],[],newly weds,your wedding night as mrs. [MEMBER].,newly weds [SEP] your wedding night as mrs. [MEMBER].,,False,True
https://golemlab.eu/graph/37209730,Dirty Dancer,"Being one of the first female trainees at HYBE, you consider yourself lucky to have such an opportunity. Needing to improve your dancing skills, you stay behind in the studio late at night in order to get extra practice But you are discovered by an idol of yours, who happens to be quite the dancer himself. Wattpad link: https://www.wattpad.com/1189958647-dirty-dancer Tumblr link: https://lokidow-strange-army.tumblr.com/post/676538790849003520/dirty-dancer",2022-02-18,3219,Explicit,F/M,Completed,5,hoseok,Dance Instructor Jung Hoseok | J-Hope | Dance Studio Sex | Dancer Jung Hoseok | J-Hope | Features mentions of Woman by Doja Cat | Idol Jung Hoseok | J-Hope | Jung Hoseok | J-Hope Has a Big Dick | Jung Hoseok | J-Hope-centric | Reader-Insert | Semi-Public Sex | Smut | Top Jung Hoseok | J-Hope | trainee reader,"Jung Hoseok | J-Hope/Reader, Jung Hoseok | J-Hope/You","['Dance Instructor Jung Hoseok', 'J-Hope', 'Dance Studio Sex', 'Dancer Jung Hoseok', 'J-Hope', 'Features mentions of Woman by Doja Cat', 'Idol Jung Hoseok', 'J-Hope', 'Jung Hoseok', 'J-Hope Has a Big Dick', 'Jung Hoseok', 'J-Hope-centric', 'Reader-Insert', 'Semi-Public Sex', 'Smut', 'Top Jung Hoseok', 'J-Hope', 'trainee reader']","['Reader-Insert', 'Semi-Public Sex', 'Smut']","['Dance Instructor Jung Hoseok', 'J-Hope', 'Dance Studio Sex', 'Dancer Jung Hoseok', 'J-Hope', 'Idol Jung Hoseok', 'J-Hope', 'Jung Hoseok', 'Jung Hoseok', 'Top Jung Hoseok', 'J-Hope']",[],"['dance instructor [MEMBER]', '[MEMBER]', 'dance studio sex', 'dancer [MEMBER]', '[MEMBER]', 'idol [MEMBER]', '[MEMBER]', '[MEMBER]', '[MEMBER]', 'top [MEMBER]', '[MEMBER]']",dirty dancer,"being one of the first female trainees at hybe, you consider yourself lucky to have such an opportunity. needing to improve your dancing skills, you stay behind in the studio late at night in order to get extra practice but you are discovered by an idol of yours, who happens to be quite the dancer himself.","dirty dancer [SEP] being one of the first female trainees at hybe, you consider yourself lucky to have such an opportunity. needing to improve your dancing skills, you stay behind in the studio late at night in order to get extra practice but you are discovered by an idol of yours, who happens to be quite the dancer himself.","reader-insert, semi-public sex, smut, dance instructor [member], [member], dance studio sex, dancer [member], [member], idol [member], [member], [member], [member], top [member], [member]",False,False
https://golemlab.eu/graph/21441634,hoseok 02,"prompt request: jung hoseok + wizard + “you should be nice to me, i just saved your life!”",2019-11-15,1259,Teen And Up Audiences,F/M,Completed,5,hoseok,Harry Potter AU | Mentions of Blood | Wizards | hogwarts based | yoongi and seokjin aren't really IN the thing but they're mentioned,Jung Hoseok | J-Hope/Reader Series: halloween drabbles [2],"['Harry Potter AU', 'Mentions of Blood', 'Wizards', 'hogwarts based', ""yoongi and seokjin aren't really IN the thing but they're mentioned""]",['Wizards'],['Harry Potter AU'],[],['harry potter au'],[MEMBER] 02,"[MEMBER] + wizard + “you should be nice to me, i just saved your life!”","[MEMBER] 02 [SEP] [MEMBER] + wizard + “you should be nice to me, i just saved your life!”","wizards, harry potter au",False,False
https://golemlab.eu/graph/18297035,Baby Steps,"You were still too scared, it had been so long since you had been on the dancefloor since your injury. Even more so you had been cleared over a month ago and even now you couldn't bring yourself to do it, even when your sweet boyfriend asked you to.",2019-03-31,394,General Audiences,F/M,Completed,5,hoseok,Dancer Hoseok,Jung Hoseok | J-Hope/Reader Series: BTS Drabbles [14],['Dancer Hoseok'],[],['Dancer Hoseok'],[],['dancer [MEMBER]'],baby steps,"you were still too scared, it had been so long since you had been on the dancefloor since your injury. even more so you had been cleared over a month ago and even now you couldn't bring yourself to do it, even when your sweet boyfriend asked you to.","baby steps [SEP] you were still too scared, it had been so long since you had been on the dancefloor since your injury. even more so you had been cleared over a month ago and even now you couldn't bring yourself to do it, even when your sweet boyfriend asked you to.",dancer [member],False,False
https://golemlab.eu/graph/13110774,Airports have more sincere kisses than Wedding Halls,A Oneshot in which Jung Hoseok says his last farewell to his dear (Y/N).,2017-12-23,396,General Audiences,Other,Completed,5,hoseok,Airports | Dreams | Goodbyes | Jung Hoseok hand appreciation | Oneshot | Short One Shot | bts - Freeform | bts oneshot | gender neutral reader,Jung Hoseok | J-Hope/Reader,"['Airports', 'Dreams', 'Goodbyes', 'Jung Hoseok hand appreciation', 'Oneshot', 'Short One Shot', 'bts - Freeform', 'bts oneshot', 'gender neutral reader']","['Airports', 'Dreams', 'Goodbyes', 'Short One Shot']",['Oneshot'],[],['oneshot'],airports have more sincere kisses than wedding halls,a oneshot in which [MEMBER] says his last farewell to his dear (You).,airports have more sincere kisses than wedding halls [SEP] a oneshot in which [MEMBER] says his last farewell to his dear (You).,"airports, dreams, goodbyes, short one shot, oneshot",False,False
https://golemlab.eu/graph/33359893,"""They are all yours""","His hands. The only word you could think to discribe them was magical. Be that if they were holding yours, on any part of your body or even inside you. You felt each bone and he knew how to use them.",2021-08-19,1117,Explicit,F/M,Completed,5,hoseok,Bedroom Sex | Cute Jung Hoseok | J-Hope | Dom Jung Hoseok | J-Hope | Dom/sub | Fingerfucking | Hand & Finger Kink | Hands | Holding Hands | Oral Sex | Relationship(s) | Rough Oral Sex | Sex | Smut,Jung Hoseok | J-Hope/Reader,"['Bedroom Sex', 'Cute Jung Hoseok', 'J-Hope', 'Dom Jung Hoseok', 'J-Hope', 'Dom/sub', 'Fingerfucking', 'Hand & Finger Kink', 'Hands', 'Holding Hands', 'Oral Sex', 'Relationship(s)', 'Rough Oral Sex', 'Sex', 'Smut']","['Bedroom Sex', 'Dom/sub', 'Fingerfucking', 'Hand & Finger Kink', 'Hands', 'Holding Hands', 'Oral Sex', 'Relationship(s)', 'Rough Oral Sex', 'Sex', 'Smut']","['Cute Jung Hoseok', 'J-Hope', 'Dom Jung Hoseok', 'J-Hope']",[],"['cute [MEMBER]', '[MEMBER]', 'dom [MEMBER]', '[MEMBER]']","""they are all yours""","his hands. the only word you could think to discribe them was magical. be that if they were holding yours, on any part of your body or even inside you. you felt each bone and he knew how to use them.","""they are all yours"" [SEP] his hands. the only word you could think to discribe them was magical. be that if they were holding yours, on any part of your body or even inside you. you felt each bone and he knew how to use them.","bedroom sex, dom/sub, fingerfucking, hand & finger kink, hands, holding hands, oral sex, relationship(s), rough oral sex, sex, smut, cute [member], [member], dom [member], [member]",False,False
https://golemlab.eu/graph/32509468,Sunset Tears: Even The Sun Goes Down At The End Of The Day,I actually somewhat liked this one even if its a cliche? Yeah haha enjoy :),2021-07-11,3135,General Audiences,F/M,Completed,5,hoseok,Angst Content (grab your tissues I guess lol). | Heartbreak | Idk ok bye | Jhope Dancer | Long-Term Relationship | Ryujin is a milf | Sad | Workplace crush | Y/n knows her own self worth? | but she is apart of the story though | dance teacher | emotional cheating | jung hoseok - Freeform | just kidding | reader yn,"Jung Hoseok | J-Hope/Reader, long time relationship - Relationship","['Angst Content (grab your tissues I guess lol).', 'Heartbreak', 'Idk ok bye', 'Jhope Dancer', 'Long-Term Relationship', 'Ryujin is a milf', 'Sad', 'Workplace crush', 'Y/n knows her own self worth?', 'but she is apart of the story though', 'dance teacher', 'emotional cheating', 'jung hoseok - Freeform', 'just kidding', 'reader yn']","['Heartbreak', 'Sad']","['Jhope Dancer', 'Long-Term Relationship']",[],"['[MEMBER] dancer', 'long-term relationship']",sunset tears: even the sun goes down at the end of the day,i actually somewhat liked this one even if its a cliche? yeah haha enjoy :),sunset tears: even the sun goes down at the end of the day [SEP] i actually somewhat liked this one even if its a cliche? yeah haha enjoy :),"heartbreak, sad, [member] dancer, long-term relationship",True,False
https://golemlab.eu/graph/16455227,until the night is over,"He is the one and only reason that keeps you from leaving. The man who makes it difficult for you to distinguish this place as Heaven or Hell. You can feel his breath despite the bright blue mask covering his face as he leans into you, lips close to your ear, and whispers: “Run.” or, You're a dream dealer, and Hoseok pulls you into his nightmares that neither of you can escape from.",2018-10-29,342,Explicit,F/M,In-Progress,5,hoseok,Angst | Character Death In Dream | Explicit Sexual Content | Horror | Monsters,Jung Hoseok | J-Hope/Reader,"['Angst', 'Character Death In Dream', 'Explicit Sexual Content', 'Horror', 'Monsters']","['Angst', 'Character Death In Dream', 'Explicit Sexual Content', 'Horror', 'Monsters']",[],[],[],until the night is over,"he is the one and only reason that keeps you from leaving. the man who makes it difficult for you to distinguish this place as heaven or hell. you can feel his breath despite the bright blue mask covering his face as he leans into you, lips close to your ear, and whispers: “run.” or, you're a dream dealer, and [MEMBER] pulls you into his nightmares that neither of you can escape from.","until the night is over [SEP] he is the one and only reason that keeps you from leaving. the man who makes it difficult for you to distinguish this place as heaven or hell. you can feel his breath despite the bright blue mask covering his face as he leans into you, lips close to your ear, and whispers: “run.” or, you're a dream dealer, and [MEMBER] pulls you into his nightmares that neither of you can escape from.","angst, character death in dream, explicit sexual content, horror, monsters",False,False
