model_id_1,model_id_2,rating,edge_weight,resolution,algorithm_1,algorithm_2,ARI,dataset
139,140,Teen And Up Audiences,6,2.5,Louvain,Leiden,0.9910537163216708,ARI Stability Results
141,142,Teen And Up Audiences,6,3.0,Louvain,Leiden,0.9570625537411214,ARI Stability Results
143,144,Teen And Up Audiences,6,3.5,Louvain,Leiden,0.9921969309215927,ARI Stability Results
145,146,Mature,1,1.0,Louvain,Leiden,0.39436216409792013,ARI Stability Results
147,148,Mature,1,1.5,Louvain,Leiden,0.3530145086682086,ARI Stability Results
149,150,Mature,1,2.0,Louvain,Leiden,0.39435087003726765,ARI Stability Results
151,152,Mature,1,2.5,Louvain,Leiden,0.4414496639014527,ARI Stability Results
153,154,Mature,1,3.0,Louvain,Leiden,0.43997724754928447,ARI Stability Results
155,156,Mature,1,3.5,Louvain,Leiden,0.4563139387243268,ARI Stability Results
157,158,Mature,2,1.0,Louvain,Leiden,0.7750908275063778,ARI Stability Results
159,160,Mature,2,1.5,Louvain,Leiden,0.5593916561876053,ARI Stability Results
161,162,Mature,2,2.0,Louvain,Leiden,0.5681443119474997,ARI Stability Results
163,164,Mature,2,2.5,Louvain,Leiden,0.6115673398316878,ARI Stability Results
165,166,Mature,2,3.0,Louvain,Leiden,0.6718682280862288,ARI Stability Results
167,168,Mature,2,3.5,Louvain,Leiden,0.7541923292771612,ARI Stability Results
169,170,Mature,3,1.0,Louvain,Leiden,0.5063915716481688,ARI Stability Results
171,172,Mature,3,1.5,Louvain,Leiden,0.6605079680785493,ARI Stability Results
173,174,Mature,3,2.0,Louvain,Leiden,0.7219587196622098,ARI Stability Results
175,176,Mature,3,2.5,Louvain,Leiden,0.7468404335654737,ARI Stability Results
177,178,Mature,3,3.0,Louvain,Leiden,0.7860993681842346,ARI Stability Results
179,180,Mature,3,3.5,Louvain,Leiden,0.82799540017247,ARI Stability Results
181,182,Mature,4,1.0,Louvain,Leiden,0.5723139452079571,ARI Stability Results
183,184,Mature,4,1.5,Louvain,Leiden,0.7298435961504876,ARI Stability Results
185,186,Mature,4,2.0,Louvain,Leiden,0.7928534469456807,ARI Stability Results
187,188,Mature,4,2.5,Louvain,Leiden,0.8997583696534133,ARI Stability Results
189,190,Mature,4,3.0,Louvain,Leiden,0.9227754611396781,ARI Stability Results
191,192,Mature,4,3.5,Louvain,Leiden,0.9101170129945026,ARI Stability Results
193,194,Mature,5,1.0,Louvain,Leiden,0.5477369856196167,ARI Stability Results
195,196,Mature,5,1.5,Louvain,Leiden,0.5604823328266655,ARI Stability Results
197,198,Mature,5,2.0,Louvain,Leiden,0.8248972757101949,ARI Stability Results
199,200,Mature,5,2.5,Louvain,Leiden,0.8086267076845591,ARI Stability Results
201,202,Mature,5,3.0,Louvain,Leiden,0.8203544960794116,ARI Stability Results
203,204,Mature,5,3.5,Louvain,Leiden,0.9507956483858369,ARI Stability Results
205,206,Mature,6,1.0,Louvain,Leiden,0.8089420590546468,ARI Stability Results
207,208,Mature,6,1.5,Louvain,Leiden,0.6560681103358519,ARI Stability Results
209,210,Mature,6,2.0,Louvain,Leiden,0.8237848401194263,ARI Stability Results
211,212,Mature,6,2.5,Louvain,Leiden,0.9054532087568368,ARI Stability Results
213,214,Mature,6,3.0,Louvain,Leiden,0.8806298294168492,ARI Stability Results
215,216,Mature,6,3.5,Louvain,Leiden,0.9294981777256773,ARI Stability Results
217,218,Explicit,1,1.0,Louvain,Leiden,0.4159618037277367,ARI Stability Results
219,220,Explicit,1,1.5,Louvain,Leiden,0.41389394361734216,ARI Stability Results
221,222,Explicit,1,2.0,Louvain,Leiden,0.4845039286354868,ARI Stability Results
223,224,Explicit,1,2.5,Louvain,Leiden,0.571279355148768,ARI Stability Results
225,226,Explicit,1,3.0,Louvain,Leiden,0.5445326302513228,ARI Stability Results
227,228,Explicit,1,3.5,Louvain,Leiden,0.5591780257596226,ARI Stability Results
229,230,Explicit,2,1.0,Louvain,Leiden,0.5815278631807494,ARI Stability Results
231,232,Explicit,2,1.5,Louvain,Leiden,0.6435176364944436,ARI Stability Results
233,234,Explicit,2,2.0,Louvain,Leiden,0.5286640820400605,ARI Stability Results
235,236,Explicit,2,2.5,Louvain,Leiden,0.5659172115706514,ARI Stability Results
237,238,Explicit,2,3.0,Louvain,Leiden,0.735019426516267,ARI Stability Results
239,240,Explicit,2,3.5,Louvain,Leiden,0.7023649313621868,ARI Stability Results
241,242,Explicit,3,1.0,Louvain,Leiden,0.7776975772822371,ARI Stability Results
243,244,Explicit,3,1.5,Louvain,Leiden,0.8075865616633716,ARI Stability Results
245,246,Explicit,3,2.0,Louvain,Leiden,0.7144073228353144,ARI Stability Results
247,248,Explicit,3,2.5,Louvain,Leiden,0.6529471168166925,ARI Stability Results
249,250,Explicit,3,3.0,Louvain,Leiden,0.8199280067008392,ARI Stability Results
251,252,Explicit,3,3.5,Louvain,Leiden,0.8286972761671357,ARI Stability Results
253,254,Explicit,4,1.0,Louvain,Leiden,0.5418705328138758,ARI Stability Results
255,256,Explicit,4,1.5,Louvain,Leiden,0.7282966071066224,ARI Stability Results
257,258,Explicit,4,2.0,Louvain,Leiden,0.8131249663800205,ARI Stability Results
259,260,Explicit,4,2.5,Louvain,Leiden,0.8832343267739879,ARI Stability Results
261,262,Explicit,4,3.0,Louvain,Leiden,0.858503673594187,ARI Stability Results
263,264,Explicit,4,3.5,Louvain,Leiden,0.9270676451050773,ARI Stability Results
265,266,Explicit,5,1.0,Louvain,Leiden,0.598635278309577,ARI Stability Results
267,268,Explicit,5,1.5,Louvain,Leiden,0.8503756075919555,ARI Stability Results
269,270,Explicit,5,2.0,Louvain,Leiden,0.8271471958220824,ARI Stability Results
271,272,Explicit,5,2.5,Louvain,Leiden,0.8518873548468627,ARI Stability Results
273,274,Explicit,5,3.0,Louvain,Leiden,0.8709661007983551,ARI Stability Results
275,276,Explicit,5,3.5,Louvain,Leiden,0.878533099331841,ARI Stability Results
277,278,Explicit,6,1.0,Louvain,Leiden,0.8782370618289109,ARI Stability Results
279,280,Explicit,6,1.5,Louvain,Leiden,0.7129850856666211,ARI Stability Results
281,282,Explicit,6,2.0,Louvain,Leiden,0.8589975070702441,ARI Stability Results
283,284,Explicit,6,2.5,Louvain,Leiden,0.9497068893755789,ARI Stability Results
285,286,Explicit,6,3.0,Louvain,Leiden,0.9261970706264089,ARI Stability Results
287,288,Explicit,6,3.5,Louvain,Leiden,0.9137630871709478,ARI Stability Results
