communities,largest,largest_pct,smallest,average,median,singleton_count,model_id,rating,algorithm,edge_weight,resolution,nodes,edges,modularity,dataset
9,46,0.40350877192982454,3,12.666666666666666,10.0,0,39,General Audiences,Louvain,4,1.5,114,264,0.2194334149343038,Model Evaluation Results
9,48,0.42105263157894735,3,12.666666666666666,8.0,0,40,General Audiences,Leiden,4,1.5,114,264,0.3647411616161616,Model Evaluation Results
9,43,0.37719298245614036,4,12.666666666666666,8.0,0,41,General Audiences,Louvain,4,2.0,114,264,0.2112541301001488,Model Evaluation Results
9,44,0.38596491228070173,4,12.666666666666666,8.0,0,42,General Audiences,Leiden,4,2.0,114,264,0.37860135445362725,Model Evaluation Results
13,43,0.37719298245614036,3,8.76923076923077,5.0,0,43,General Audiences,Louvain,4,2.5,114,264,0.17467889918836604,Model Evaluation Results
12,43,0.37719298245614036,3,9.5,6.5,0,44,General Audiences,Leiden,4,2.5,114,264,0.3501707415059689,Model Evaluation Results
13,43,0.37719298245614036,3,8.76923076923077,5.0,0,45,General Audiences,Louvain,4,3.0,114,264,0.1746919686693789,Model Evaluation Results
13,43,0.37719298245614036,3,8.76923076923077,5.0,0,46,General Audiences,Leiden,4,3.0,114,264,0.342351067493113,Model Evaluation Results
30,30,0.2631578947368421,1,3.8,2.0,14,47,General Audiences,Louvain,4,3.5,114,264,0.1398373925924103,Model Evaluation Results
33,28,0.24561403508771928,1,3.4545454545454546,1.0,17,48,General Audiences,Leiden,4,3.5,114,264,0.2808339072543614,Model Evaluation Results
6,41,0.5,2,13.666666666666666,9.5,0,49,General Audiences,Louvain,5,1.0,82,179,0.22809670440275606,Model Evaluation Results
6,44,0.5365853658536586,4,13.666666666666666,7.0,0,50,General Audiences,Leiden,5,1.0,82,179,0.3266908024094129,Model Evaluation Results
9,32,0.3902439024390244,3,9.11111111111111,6.0,0,51,General Audiences,Louvain,5,1.5,82,179,0.20198124423188865,Model Evaluation Results
9,32,0.3902439024390244,3,9.11111111111111,6.0,0,52,General Audiences,Leiden,5,1.5,82,179,0.3634718017540026,Model Evaluation Results
11,29,0.35365853658536583,2,7.454545454545454,5.0,0,53,General Audiences,Louvain,5,2.0,82,179,0.19354536890829713,Model Evaluation Results
11,30,0.36585365853658536,2,7.454545454545454,5.0,0,54,General Audiences,Leiden,5,2.0,82,179,0.3519865172747417,Model Evaluation Results
